n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,combined,custom_score
5,3,140,105,0.2,5,0.7,62,62,62,0.3759522153901446,0.20956551632536663,0.6240477846098553,0.7904344836746334,1.0,0.5445382878483643,0.07652881843254604,0.6428811400801618,0.08231047495527029,True,0.6458220029099019,0.9693548387096774,0.6493170768149628,0.9483870967741935,0.3717328477324904,0.9693548387096774,0.6493170768149628,0.9483870967741935,754.474948,0.7988520867945781,4.722052246060054
5,3,120,80,0.2,5,0.7,65,65,65,0.29917728590291504,0.19208772491815831,0.700822714097085,0.8079122750818417,1.0,0.5927604284676267,0.08075177160894126,0.7022017173082482,0.08655296075505309,True,0.6737287214245093,0.9507692307692308,0.6545880524646059,0.9353846153846154,0.42462841849076494,0.9507692307692308,0.6545880524646059,0.9353846153846154,798.925292,0.7949863339246106,4.7107234319690265
15,5,120,105,0.2,5,0.7,77,77,77,0.6130352915439367,0.515266698439734,0.38696470845606334,0.48473330156026595,1.0,0.1034330538866014,0.06162542678782102,0.1873920822557836,0.07061043354610871,True,0.65606622134467,0.9714285714285714,0.6524330453108715,0.9571428571428572,0.396872664102296,0.9571428571428572,0.6524330453108715,0.9571428571428572,875.70399,0.8047879512268643,4.696008193251235
15,5,100,80,0.2,5,0.7,88,88,88,0.5704463595096531,0.4907220038908986,0.429553640490347,0.5092779961091014,1.0,0.1486041987327234,0.05880491597065419,0.2607253635021212,0.06856341461509012,True,0.6713062692384602,0.9670454545454545,0.6471881926076856,0.9375,0.4518539243887933,0.9681818181818181,0.6471881926076856,0.9375,928.78471,0.7923440963038428,4.690740273961448
15,10,140,80,0.2,5,0.7,74,74,74,0.6383691040776305,0.5363619316983226,0.3616308959223695,0.4636380683016775,1.0,0.10508942034986835,0.06216062066864076,0.18387230352134135,0.07219257604050285,True,0.6626611657522147,0.9783783783783784,0.6389992043107927,0.9567567567567568,0.42629029538656327,0.9594594594594594,0.6389992043107927,0.9567567567567568,905.795896,0.7978779805337748,4.68901583801154
5,5,140,55,0.2,5,0.7,94,94,94,0.5127430834980584,0.3994108960786305,0.48725691650194153,0.6005891039213694,1.0,0.07505215210444484,0.09264323272730114,0.08549038604276864,0.1474166152307584,True,0.6638855831916923,0.9723404255319149,0.6437416642384876,0.9425531914893617,0.39592530270735055,0.9436170212765957,0.6437416642384876,0.9425531914893617,887.276175,0.7931474278639246,4.679168435218441
15,10,140,30,0.2,5,0.7,54,54,54,0.503336172074599,0.35948621387441304,0.496663827925401,0.640513786125587,1.0,0.3885546639998125,0.06496159886242002,0.5720636607261448,0.07854849169082201,True,0.6296604880584395,0.9796296296296296,0.6231154265079898,0.9888888888888889,0.45635657673979935,0.9722222222222222,0.6231154265079898,0.9888888888888889,870.896866,0.8060021576984393,4.670719190954056
15,10,120,30,0.2,5,0.7,59,59,59,0.5018712253205303,0.3944457032135072,0.49812877467946964,0.6055542967864928,1.0,0.36123243040526287,0.06524286863920119,0.5740208295895806,0.08067754764006844,True,0.632776226262448,0.9813559322033898,0.6243662226203638,0.976271186440678,0.48316928930844755,0.9677966101694915,0.6243662226203638,0.976271186440678,892.198261,0.8003187045305209,4.608624437667457
5,3,140,30,0.2,5,0.7,37,37,37,0.12927862115304983,0.0745169582236251,0.8707213788469502,0.9254830417763749,1.0,0.860447218945082,0.008586541241181021,0.9069583017555922,0.01045776656171137,True,0.6238568673407062,0.9567567567567568,0.5443072542620153,0.9486486486486486,0.4403096201636708,0.9432432432432433,0.5443072542620153,0.9486486486486486,730.252004,0.7464779514553319,4.577113639457873
5,5,140,30,0.2,5,0.7,77,77,77,0.40966942988178856,0.30944363275542813,0.5903305701182114,0.6905563672445719,1.0,0.41000148447937745,0.07484119977185896,0.5632739802017329,0.08477939855146065,True,0.637270461795618,0.974025974025974,0.6378912086074584,0.9493506493506494,0.43942931567467614,0.9454545454545454,0.6378912086074584,0.9493506493506494,853.014999,0.7936209289790539,4.56719577620566
15,10,140,55,0.2,5,0.7,70,70,70,0.5810955457805627,0.46807197381065857,0.4189044542194373,0.5319280261893414,1.0,0.15266307787266292,0.06794227719136502,0.23575876428811401,0.07260666765631958,True,0.6388818668151311,0.9785714285714285,0.6135955818933517,0.9685714285714285,0.4482884661243236,0.97,0.6135955818933517,0.9685714285714285,899.364068,0.7910835052323901,4.434607512992586
15,10,120,55,0.2,5,0.7,81,81,81,0.5770835449367534,0.48036190044612515,0.42291645506324665,0.5196380995538749,1.0,0.14728769991640037,0.06791102499394489,0.2296528662171559,0.07469665835879086,True,0.6426993167793525,0.9740740740740741,0.6286241725292524,0.9592592592592593,0.45531429195353484,0.9580246913580247,0.6286241725292524,0.9592592592592593,932.399649,0.7939417158942559,4.429606190684398
15,10,100,80,0.2,5,0.7,97,97,97,0.6362009828816089,0.5575157628270738,0.36379901711839113,0.44248423717292623,1.0,0.095471556593823,0.06185200521911697,0.18661077732028034,0.07474744317959857,True,0.6711940809314991,0.9608247422680413,0.6606769344291484,0.9298969072164949,0.46828725580135294,0.9536082474226805,0.6606769344291484,0.9298969072164949,997.747561,0.7952869208228217,4.4110415867934
5,5,120,30,0.2,5,0.7,97,97,97,0.4009305341781844,0.3156823526654218,0.5990694658218156,0.6843176473345782,1.0,0.39648100257049324,0.0745403973716902,0.539225414286942,0.08382230000546914,True,0.6573659139574897,0.9525773195876288,0.6474159149666718,0.9288659793814433,0.45005926667237545,0.9402061855670103,0.6474159149666718,0.9288659793814433,936.09765,0.7881409471740576,4.356796468231027
15,10,80,30,0.2,5,0.7,85,85,85,0.4925854161620739,0.44127321452289614,0.5074145838379261,0.5587267854771039,1.0,0.31934276628825464,0.06414513520481908,0.5408114633060137,0.08134556335992374,True,0.6561208722465838,0.9647058823529412,0.633157511155446,0.9352941176470588,0.4698160219731723,0.9576470588235294,0.633157511155446,0.9352941176470588,994.886248,0.7842258144012524,4.312320188725433
15,10,100,30,0.2,5,0.7,67,67,67,0.4988085099733575,0.4310342133431257,0.5011914900266425,0.5689657866568744,1.0,0.33164831902243125,0.06535225133017165,0.5671531592065067,0.08365431944433593,True,0.6286208089186617,0.9746268656716418,0.6263844817276724,0.9597014925373134,0.4776081614884183,0.9611940298507463,0.6263844817276724,0.9597014925373134,922.509691,0.7930429871324929,4.3004871510335665
15,5,80,30,0.2,5,0.7,60,60,60,0.38566383573845037,0.29348547944777365,0.6143361642615497,0.7065145205522263,1.0,0.5163761514481487,0.07046198560836309,0.7159370580743959,0.08311521903883867,True,0.658195078320348,0.9533333333333334,0.6253000276893067,0.9333333333333333,0.4497830273180224,0.9583333333333334,0.6253000276893067,0.9333333333333333,910.973073,0.7793166805113201,4.215117980544793
5,3,120,105,0.2,5,0.7,75,75,75,0.3695611410177278,0.22241798251439554,0.6304388589822721,0.7775820174856044,1.0,0.5302482205780094,0.07597799845301623,0.6347829144236704,0.08225969013446258,True,0.6439522176159103,0.956,0.6249747125352204,0.9373333333333334,0.40032548179436656,0.96,0.6249747125352204,0.9373333333333334,801.652712,0.7811540229342768,4.212240663516362
15,5,120,30,0.2,5,0.7,41,41,41,0.39309795219976407,0.23523919650600433,0.6069020478002359,0.7647608034939957,1.0,0.5675516247236134,0.07227851958340821,0.7250431670976866,0.08012282113586111,True,0.6317491313057018,0.975609756097561,0.5689308268304278,0.9634146341463414,0.403540859846925,0.9780487804878049,0.5689308268304278,0.9634146341463414,816.825845,0.7661727304883846,4.1284168531594965
