n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,error
5,5,60,55,0.2,5,0.4,80,80,80,0.7207928682485487,0.4725566641404474,0.2792071317514513,0.5274433358595526,1.0,0.1338297224023564,0.02765428819213851,0.16919549030791228,0.032881218210655434,True,0.5339058668242352,0.98875,0.4618924789977528,0.9625,0.3564644588158272,0.97125,0.4618924789977528,0.9625,718.435113,
5,5,60,55,0.2,5,0.7,80,80,80,0.7207928682485487,0.4725566641404474,0.2792071317514513,0.5274433358595526,1.0,0.1338297224023564,0.02765428819213851,0.16919549030791228,0.032881218210655434,True,0.6024121525004356,0.9675,0.6046182780542082,0.85875,0.43385069789818975,0.845,0.6046182780542082,0.85875,829.992416,
5,5,60,55,0.2,30,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.600941,max_df corresponds to < documents than min_df
5,5,60,55,0.2,30,0.4,80,80,80,0.7207928682485487,0.4725566641404474,0.2792071317514513,0.5274433358595526,1.0,0.1338297224023564,0.02765428819213851,0.16919549030791228,0.032881218210655434,True,0.2922099949672843,0.7575,0.28814159969882563,0.81625,0.24254300241835192,0.8825,0.28814159969882563,0.81625,724.955334,
5,5,60,55,0.2,30,0.7,80,80,80,0.7207928682485487,0.4725566641404474,0.2792071317514513,0.5274433358595526,1.0,0.1338297224023564,0.02765428819213851,0.16919549030791228,0.032881218210655434,True,0.5461936868462021,0.8675,0.5619887460837858,0.82625,0.39951244417946397,0.82125,0.5619887460837858,0.82625,872.567922,
5,5,60,55,0.2,60,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.190761,max_df corresponds to < documents than min_df
5,5,60,55,0.2,60,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.893283,max_df corresponds to < documents than min_df
5,5,60,55,0.2,60,0.7,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.485907,max_df corresponds to < documents than min_df
5,5,80,30,0.2,5,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.395506,max_df corresponds to < documents than min_df
5,5,80,30,0.2,5,0.4,48,48,48,0.6031752232578853,0.27081591674414607,0.3968247767421147,0.7291840832558539,1.0,0.5933542202186092,0.015622192185388035,0.7558304880811932,0.016247236133790657,True,0.5674322424455411,0.99375,0.42676049113448866,0.96875,0.39070937438515935,0.9875,0.42676049113448866,0.96875,674.211803,
5,5,80,30,0.2,5,0.7,48,48,48,0.6031752232578853,0.27081591674414607,0.3968247767421147,0.7291840832558539,1.0,0.5933542202186092,0.015622192185388035,0.7558304880811932,0.016247236133790657,True,0.6193879696366288,0.975,0.61749914106414,0.9166666666666666,0.4752181185294398,0.9208333333333333,0.61749914106414,0.9166666666666666,756.581941,
5,5,80,30,0.2,30,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.302431,max_df corresponds to < documents than min_df
5,5,80,30,0.2,30,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.138137,max_df corresponds to < documents than min_df
5,5,80,30,0.2,30,0.7,48,48,48,0.6031752232578853,0.27081591674414607,0.3968247767421147,0.7291840832558539,1.0,0.5933542202186092,0.015622192185388035,0.7558304880811932,0.016247236133790657,True,0.4493914852018599,0.7145833333333333,0.4260410729594859,0.7645833333333333,0.35960308832659715,0.8020833333333334,0.4260410729594859,0.7645833333333333,816.97298,
5,5,80,30,0.2,60,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.797253,max_df corresponds to < documents than min_df
5,5,80,30,0.2,60,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.951472,max_df corresponds to < documents than min_df
5,5,80,30,0.2,60,0.7,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.210232,max_df corresponds to < documents than min_df
5,5,80,55,0.2,5,0.1,64,64,64,0.7232344461719965,0.4095678602401731,0.27676555382800355,0.5904321397598269,1.0,0.1388535131376425,0.027947277542952238,0.1686524833777375,0.031998343633536735,True,0.29920352436269904,0.9890625,0.514232517144613,0.9890625,0.6229743390716097,0.99375,0.514232517144613,0.9890625,660.605719,
5,5,80,55,0.2,5,0.4,64,64,64,0.7232344461719965,0.4095678602401731,0.27676555382800355,0.5904321397598269,1.0,0.1388535131376425,0.027947277542952238,0.1686524833777375,0.031998343633536735,True,0.49617080150158016,0.99375,0.4151841938939743,0.9765625,0.33857161577344547,0.9734375,0.4151841938939743,0.9765625,689.215333,
5,5,80,55,0.2,5,0.7,64,64,64,0.7232344461719965,0.4095678602401731,0.27676555382800355,0.5904321397598269,1.0,0.1388535131376425,0.027947277542952238,0.1686524833777375,0.031998343633536735,True,0.5867537218097272,0.9734375,0.5465834864303931,0.890625,0.420884394596927,0.9046875,0.5465834864303931,0.890625,770.878778,
5,5,80,55,0.2,30,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.983288,max_df corresponds to < documents than min_df
5,5,80,55,0.2,30,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.974891,max_df corresponds to < documents than min_df
5,5,80,55,0.2,30,0.7,64,64,64,0.7232344461719965,0.4095678602401731,0.27676555382800355,0.5904321397598269,1.0,0.1388535131376425,0.027947277542952238,0.1686524833777375,0.031998343633536735,True,0.5174178568782022,0.8734375,0.5213692795959748,0.8546875,0.3747087827177692,0.884375,0.5213692795959748,0.8546875,792.117973,
5,5,80,55,0.2,60,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.84716,max_df corresponds to < documents than min_df
5,5,80,55,0.2,60,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.931534,max_df corresponds to < documents than min_df
5,5,80,55,0.2,60,0.7,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.66176,max_df corresponds to < documents than min_df
5,5,100,30,0.2,5,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.3141,max_df corresponds to < documents than min_df
5,5,100,30,0.2,5,0.4,43,43,43,0.6044526568274332,0.22957082919892804,0.39554734317256685,0.770429170801072,1.0,0.6246103241634178,0.015622192185388035,0.7615066684376245,0.016247236133790657,True,0.5293905718667861,0.9930232558139535,0.4275064693840377,0.9744186046511628,0.3823243991899519,0.9813953488372092,0.4275064693840377,0.9744186046511628,661.843518,
5,5,100,30,0.2,5,0.7,43,43,43,0.6044526568274332,0.22957082919892804,0.39554734317256685,0.770429170801072,1.0,0.6246103241634178,0.015622192185388035,0.7615066684376245,0.016247236133790657,True,0.5971524986122131,0.9767441860465116,0.5971222396985787,0.9232558139534883,0.4800932286120796,0.9325581395348838,0.5971222396985787,0.9232558139534883,736.042793,
5,5,100,30,0.2,30,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.796383,max_df corresponds to < documents than min_df
5,5,100,30,0.2,30,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.540434,max_df corresponds to < documents than min_df
5,5,100,30,0.2,30,0.7,43,43,43,0.6044526568274332,0.22957082919892804,0.39554734317256685,0.770429170801072,1.0,0.6246103241634178,0.015622192185388035,0.7615066684376245,0.016247236133790657,True,0.36552982094359154,0.48604651162790696,0.3121453167485383,0.6488372093023256,0.31584365434422346,0.6651162790697674,0.3121453167485383,0.6488372093023256,732.945584,
5,5,100,30,0.2,60,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.362997,max_df corresponds to < documents than min_df
5,5,100,30,0.2,60,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.200413,max_df corresponds to < documents than min_df
5,5,100,30,0.2,60,0.7,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.37365,max_df corresponds to < documents than min_df
5,5,100,55,0.2,5,0.1,61,61,61,0.7242227969154081,0.36208014626028395,0.27577720308459186,0.637919853739716,1.0,0.1393613613457196,0.02846684532506192,0.16213249369096264,0.03327577720308459,True,0.3006542972201077,0.9901639344262295,0.5386166923840512,0.9983606557377049,0.5503287782534894,0.9918032786885246,0.5386166923840512,0.9983606557377049,659.760036,
5,5,100,55,0.2,5,0.4,61,61,61,0.7242227969154081,0.36208014626028395,0.27577720308459186,0.637919853739716,1.0,0.1393613613457196,0.02846684532506192,0.16213249369096264,0.03327577720308459,True,0.466037663449269,0.9934426229508196,0.4180425885300413,0.9704918032786886,0.33831050422905223,0.9704918032786886,0.4180425885300413,0.9704918032786886,684.386597,
5,5,100,55,0.2,5,0.7,61,61,61,0.7242227969154081,0.36208014626028395,0.27577720308459186,0.637919853739716,1.0,0.1393613613457196,0.02846684532506192,0.16213249369096264,0.03327577720308459,True,0.578420627732997,0.9704918032786886,0.5655135727976625,0.8885245901639345,0.4081791497686287,0.898360655737705,0.5655135727976625,0.8885245901639345,757.445445,
5,5,100,55,0.2,30,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.498408,max_df corresponds to < documents than min_df
5,5,100,55,0.2,30,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.008909,max_df corresponds to < documents than min_df
5,5,100,55,0.2,30,0.7,61,61,61,0.7242227969154081,0.36208014626028395,0.27577720308459186,0.637919853739716,1.0,0.1393613613457196,0.02846684532506192,0.16213249369096264,0.03327577720308459,True,0.4984665384809676,0.8786885245901639,0.5108760460564361,0.8540983606557377,0.3436459104523436,0.8639344262295082,0.5108760460564361,0.8540983606557377,781.359435,
5,5,100,55,0.2,60,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.883023,max_df corresponds to < documents than min_df
5,5,100,55,0.2,60,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.949985,max_df corresponds to < documents than min_df
5,5,100,55,0.2,60,0.7,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.379382,max_df corresponds to < documents than min_df
5,5,100,80,0.2,5,0.1,60,60,60,0.7517598893672212,0.36876420998351445,0.24824011063277887,0.6312357900164856,1.0,0.11365252244298427,0.03386566242938956,0.12931377987514747,0.03589705526169809,True,0.3607958067049263,0.9966666666666667,0.5038209491618421,0.99,0.4718919254919759,0.9883333333333333,0.5038209491618421,0.99,662.316467,
