n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,combined
20,20,80,10,0.0,79,79,79,0.9147244728144948,0.6486120117820784,0.08527552718550523,0.35138798821792155,1.0,0.009031885054417889,0.004437812033658617,0.015231539717636397,0.0062816916814463514,True,0.6776345908271036,0.9189873417721519,0.647765315388435,0.8126582278481013,0.5517142083193532,0.8063291139240506,0.647765315388435,0.8126582278481013,1060.273327,0.7302117716182681
20,20,80,10,0.2,16,16,16,0.3715183098811635,0.13749013602518928,0.6284816901188365,0.8625098639748108,1.0,0.8091897086513895,0.014637747966653906,0.9225218960708175,0.015391707229414568,True,0.6052324444296231,0.96875,0.5719147544011892,0.95,0.4584737465498753,0.96875,0.5719147544011892,0.95,917.428109,0.7609573772005946
20,20,80,30,0.0,61,61,61,0.9043604628450438,0.5981826847200193,0.09563953715495621,0.4018173152799806,1.0,0.0271034682126087,0.006906735629848974,0.032096006750474644,0.011254697595924713,True,0.7127793588416291,0.9508196721311475,0.6363915851755807,0.8475409836065574,0.5135755379239219,0.8508196721311475,0.6363915851755807,0.8475409836065574,1032.689159,0.741966284391069
20,20,80,30,0.2,28,28,28,0.6234657124329054,0.3046932987475682,0.37653428756709456,0.6953067012524318,1.0,0.47168550913736124,0.10461282433921135,0.5875256853997547,0.16833605487885867,True,0.7069692420595772,0.9892857142857143,0.5769717847166951,0.9571428571428572,0.4813129826422149,0.9428571428571428,0.5769717847166951,0.9571428571428572,945.624712,0.7670573209297762
20,20,80,55,0.0,52,52,52,0.9088607792735427,0.5421240555976592,0.09113922072645733,0.4578759444023408,1.0,0.02808400590666531,0.035850176965567894,0.034268034471173756,0.054878858669750216,True,0.7102390912151397,0.9576923076923077,0.6308172314901739,0.8923076923076924,0.4971510236613298,0.8692307692307693,0.6308172314901739,0.8923076923076924,1038.949154,0.7615624618989332
20,20,80,55,0.2,31,31,31,0.7147885398192061,0.3255580470501832,0.28521146018079396,0.6744419529498168,1.0,0.1879858740067661,0.2563188036658828,0.2169996327866803,0.3487042057644678,True,0.6859652875513931,0.9967741935483871,0.5506407202019845,0.967741935483871,0.3963395017275159,0.964516129032258,0.5506407202019845,0.967741935483871,972.764227,0.7591913278429278
20,20,100,10,0.0,69,69,69,0.9167207069247056,0.6299466368729051,0.08327929307529436,0.37005336312709486,1.0,0.009535826737817502,0.004590166496081756,0.015071372205858224,0.017446539209788187,True,0.6912113689342969,0.9173913043478261,0.6532478734858237,0.8173913043478261,0.5127896914786352,0.827536231884058,0.6532478734858237,0.8173913043478261,1030.503934,0.7353195889168249
20,20,100,10,0.2,12,12,12,0.31893648772179295,0.021204615949558952,0.681063512278207,0.9787953840504411,1.0,0.9399137439351204,0.014637747966653906,0.9571493308123228,0.015442492050222282,True,0.6357242408716935,0.9916666666666667,0.5704711192309451,0.975,0.5128513975386849,0.975,0.5704711192309451,0.975,917.701696,0.7727355596154726
20,20,100,30,0.0,55,55,55,0.90642701439945,0.538838668343868,0.09357298560055004,0.46116133165613205,1.0,0.027505840254392885,0.007832581978420359,0.03204912845434445,0.012235235289981326,True,0.7222145186590064,0.9472727272727273,0.5963554245368153,0.8618181818181818,0.4878435498008935,0.8618181818181818,0.5963554245368153,0.8618181818181818,1018.093442,0.7290868031774986
20,20,100,30,0.2,26,26,26,0.6241454477267933,0.22855513278277378,0.3758545522732067,0.7714448672172262,1.0,0.4787133470322132,0.13664242017016823,0.5481127579282918,0.19395504371401115,True,0.694871072929521,0.9923076923076923,0.5114414996543071,0.9384615384615385,0.4323343829720233,0.926923076923077,0.5114414996543071,0.9384615384615385,939.748337,0.7249515190579228
