n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics,n_topics_after,outlier_ratio,coherence,diversity,time_seconds
5,20,60,10,0.17,76,76,0.568360275331859,0.308408852907543,0.882894736842105,2832.03219
5,20,100,30,0.23,27,27,0.518712253205304,0.30560241671825,0.962962962962963,2622.51369
5,10,80,30,0.17,84,84,0.756100038283942,0.30278589303216,0.872619047619048,3549.254464
5,10,40,50,0.23,92,92,0.65307716948848,0.302389659169703,0.866304347826087,3128.921476
5,10,80,10,0.23,17,17,0.142510020235798,0.300904565022331,0.905882352941177,941.194877
5,10,80,50,0.17,82,82,0.791145471165941,0.299155944923415,0.868292682926829,3717.905896
5,10,60,30,0.23,50,50,0.533576579603253,0.298394630507214,0.928,2600.832488
10,10,100,30,0.23,14,14,0.487842895203569,0.296925334182949,0.971428571428571,2439.451676
5,10,100,30,0.17,68,68,0.74979490745443,0.296134850472218,0.895588235294118,3576.661939
5,10,100,10,0.17,54,54,0.566297630302131,0.295489813640831,0.924074074074074,2740.810918
5,20,100,50,0.17,74,74,0.776851497370909,0.289610663482373,0.9,3748.893353
5,20,40,10,0.17,152,152,0.555195287168629,0.28635654295433,0.796052631578947,2779.823884
5,10,60,10,0.17,86,86,0.559301044604699,0.284816626765635,0.852325581395349,2717.184198
10,10,100,50,0.17,46,46,0.825003320545976,0.28478105521153,0.965217391304348,3881.06871
5,20,60,10,0.23,18,18,0.145627426928456,0.28367684287387,0.938888888888889,1044.861518
5,20,60,50,0.23,69,69,0.662159839363705,0.283038943986411,0.907246376811594,3256.158294
5,20,60,50,0.17,99,99,0.792504941753717,0.282471214796392,0.856565656565657,3813.909812
5,20,80,50,0.23,54,54,0.665292872155073,0.281036637525556,0.918518518518519,3266.48264
5,10,40,30,0.17,165,165,0.749892570571368,0.279343859485529,0.799393939393939,3543.029439
5,10,40,10,0.17,154,154,0.54828855153878,0.27930856044435,0.794155844155844,2676.548116
5,10,80,10,0.17,69,69,0.562348133853162,0.279133474966169,0.868115942028986,2724.496903
10,10,60,50,0.17,63,63,0.820784273894258,0.277868791748902,0.957142857142857,3872.531753
5,20,80,30,0.17,85,85,0.757686087303014,0.277637080766122,0.874117647058824,3653.79731
10,10,60,10,0.17,35,35,0.57800157823597,0.275613080395615,0.977142857142857,2819.69007
5,10,60,50,0.17,105,105,0.802193122953958,0.274427591859905,0.844761904761905,3757.121922
5,20,40,10,0.23,39,39,0.217327780859592,0.27315358556254,0.935897435897436,1348.204818
5,20,40,50,0.23,86,86,0.659679196193482,0.271472849695525,0.881395348837209,3246.891766
10,20,40,30,0.23,36,36,0.48450672312897,0.268793685064487,0.972222222222222,2507.199987
10,10,80,10,0.23,14,14,0.18291520497535,0.267210024179434,0.985714285714286,1156.260955
5,10,40,30,0.23,74,74,0.529295028556695,0.267168129075134,0.921621621621622,2593.558856
5,20,40,50,0.17,129,129,0.795255135126689,0.266459667172104,0.814728682170543,3846.381659
10,10,40,30,0.17,75,75,0.773202803322109,0.266248354200534,0.910666666666667,3662.818842
10,10,40,10,0.17,53,53,0.574681032260081,0.264652733087441,0.930188679245283,2807.468954
5,10,40,50,0.17,135,135,0.799325733840661,0.261850847093121,0.816296296296296,3752.178744
10,20,40,10,0.17,60,60,0.568379807955247,0.259468213928024,0.953333333333333,2846.155033
5,10,60,30,0.17,109,109,0.75036135353267,0.257443550311917,0.837614678899083,3530.958438
10,20,40,50,0.17,72,72,0.814873702057176,0.257331171133436,0.926388888888889,3924.296093
5,10,80,50,0.23,55,55,0.654506957520451,0.248203826841921,0.909090909090909,3129.639798
5,20,100,10,0.17,51,51,0.575345141455259,0.245827036852556,0.919607843137255,2855.427416
5,20,60,30,0.17,108,108,0.759803423678227,0.242963769003995,0.834259259259259,3669.380884
10,10,40,50,0.23,43,43,0.635150127743357,0.242435777607096,0.962790697674419,3075.866585
5,20,40,30,0.17,166,166,0.75854161620739,0.24165756657071,0.792168674698795,3784.94931
10,10,100,30,0.17,43,43,0.777781250244158,0.241039540263405,0.955813953488372,3679.950619
