topic,period,p_value,odds_ratio,ci_lower,ci_upper,rate_difference,count_chart_topic,count_nochart_topic,total_chart,total_nochart,p_adjusted,significant,direction
52,1980-1984,0.39312203025182535,0.0,0.019576570813783358,5.397626469019085,-0.0012597984322508398,0,18,1186,14288,0.8355429978005124,False,neutral
53,1980-1984,0.6949269599074248,1.14760296010296,0.3775165439339446,5.196282350826524,0.00021657580318346363,2,21,1186,14288,1.0,False,neutral
54,1980-1984,1.0,,0.23883077645975653,607.222006600354,0.0,0,0,1186,14288,1.0,False,neutral
55,1980-1984,0.36434895448176385,0.31645569620253167,0.0915516430107385,2.3958079668434893,-0.0018164041476803846,1,38,1186,14288,0.8355429978005124,False,neutral
56,1980-1984,1.0,0.0,0.04580011626591841,14.059279496287742,-0.0004899216125419933,0,7,1186,14288,1.0,False,neutral
57,1980-1984,0.024327619461381768,0.5208486913427288,0.3061721928231275,0.9571902549957995,-0.009128876647864503,12,275,1186,14288,0.18110561154584204,False,neutral
58,1980-1984,0.5270090039493402,1.4618263856842537,0.6042322131066775,4.340044161809414,0.001063050822492347,4,33,1186,14288,1.0,False,neutral
59,1980-1984,0.6021754092864923,0.7652556095304187,0.38850941140035433,1.7134092674987647,-0.0017965759542554142,7,110,1186,14288,1.0,False,neutral
60,1980-1984,1.0,0.872449042202015,0.3989331748464063,2.273823841066785,-0.0006133757216046113,5,69,1186,14288,1.0,False,neutral
61,1980-1984,1.0,,0.23883077645975653,607.222006600354,0.0,0,0,1186,14288,1.0,False,neutral
62,1980-1984,0.2919908536048759,2.0095720720720722,0.6191768729902206,9.38466196540448,0.0008464750193088836,2,12,1186,14288,0.8151411329802787,False,neutral
63,1980-1984,1.0,0.0,0.11554132796263823,50.1925017167341,-0.00013997760358342665,0,2,1186,14288,1.0,False,neutral
64,1980-1984,0.35004221318838424,1.7222490347490347,0.5421348998409907,7.963212897791702,0.0007064974157254568,2,14,1186,14288,0.8355429978005124,False,neutral
65,1980-1984,1.0,,0.23883077645975653,607.222006600354,0.0,0,0,1186,14288,1.0,False,neutral
-1,1985-1989,0.11644021499125416,0.8997291234210502,0.7900002115014455,1.0267354783128546,-0.019480190678732412,319,3502,1362,13804,0.5200996269609353,False,neutral
0,1985-1989,2.0462693274966702e-05,0.5649814561780206,0.4310374729229429,0.7530065355144026,-0.028448626906329905,54,940,1362,13804,0.0006855002247113845,True,underrepresented
1,1985-1989,1.2302205393614447e-07,2.344554916330477,1.7662875147674129,3.151563186473698,0.02396664271055528,58,257,1362,13804,8.242477613721679e-06,True,overrepresented
2,1985-1989,1.0,0.9684951816160119,0.5710568398514908,1.7571904447432047,-0.00030742967094174803,13,136,1362,13804,1.0,False,neutral
3,1985-1989,0.3936512957387238,1.3534219596258001,0.6938592112660372,2.929244455273382,0.001527148912124473,8,60,1362,13804,0.9603217167789249,False,neutral
4,1985-1989,0.817904401753417,1.0475860135940018,0.6895194900419616,1.655860984065843,0.0007224065381887228,22,213,1362,13804,1.0,False,neutral
5,1985-1989,1.0,0.6751960784313725,0.22830156152677147,3.0166578222428795,-0.000704854325141875,2,30,1362,13804,1.0,False,neutral
6,1985-1989,0.041913629508425865,1.6984126984126984,1.0575500885565454,2.8528610854639096,0.005392039847991453,18,108,1362,13804,0.23401776475537775,False,neutral
7,1985-1989,0.0031650518251994655,1.4825212567086776,1.1613487812538246,1.9131145510983518,0.01702383824561269,74,515,1362,13804,0.03534307871472737,True,overrepresented
8,1985-1989,0.6825964085385721,0.733448677282582,0.3354725721653383,1.9112082929996177,-0.0013274791915854909,5,69,1362,13804,1.0,False,neutral
9,1985-1989,0.0020917624425928986,0.511242143458822,0.33439128335659263,0.8185493721091291,-0.013640835340668244,20,391,1362,13804,0.028029616730744843,True,underrepresented
10,1985-1989,0.7346760780393337,0.8096898079763664,0.423946149910712,1.727282623522614,-0.0013705618963368426,8,100,1362,13804,1.0,False,neutral
11,1985-1989,0.15279780108138802,1.4432491303719674,0.9144600364887122,2.3798707985508387,0.004242742213093655,19,134,1362,13804,0.6398407920283123,False,neutral
12,1985-1989,0.3754436763381435,0.49734013679296496,0.19566936813321587,1.6916062625710067,-0.0022163658110973387,3,61,1362,13804,0.9603217167789249,False,neutral
13,1985-1989,0.021809154333116264,0.6660133685426638,0.4759186036254312,0.9571275004771326,-0.012054966297623412,34,511,1362,13804,0.13283757639261726,False,neutral
14,1985-1989,0.7241577583506507,1.1270545693622616,0.6194593187648912,2.2343646884754897,0.0008222945869825974,10,90,1362,13804,1.0,False,neutral
15,1985-1989,0.006763038585732827,1.6337675018534032,1.1786309408898483,2.3108288909844474,0.011185440300987476,40,251,1362,13804,0.056640448155512425,False,neutral
16,1985-1989,0.012576855699438868,0.4000167728950017,0.20529803377472772,0.889089314149224,-0.007610426823015397,7,176,1362,13804,0.08426493318624043,False,neutral
17,1985-1989,0.42770178997356617,0.703307430479738,0.36979221718245286,1.4960057744920403,-0.0024572034495098363,8,115,1362,13804,0.9603217167789249,False,neutral
18,1985-1989,0.3023833379249924,1.0974069172464065,0.9206890664249789,1.3148592322367216,0.008784723064373848,150,1399,1362,13804,0.9208947109533859,False,neutral
