n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,n_topics_force,topic_coverage_force,ratio_topic_0_force,ratio_topic_1_force,coherence_force,diversity_force,time_seconds
10,5,300,80,0,1,0.5,eom,3,0.0133368752490409,0.986663124750959,0.316646760433837,1,3,0.0133368752490409,0.986663124750959,0.975041213835348,0.00965692900282051,0.316646760433837,1,3,0.986663124750959,0.975041213835348,0.00965692900282051,0.316646760433837,1,412.961306
30,5,150,80,0,1,0.5,eom,4,0.00453547515059653,0.995464524849404,0.331664241086967,1,4,0.00453547515059653,0.995464524849404,0.982283910587463,0.0107312232891375,0.331664241086967,1,4,0.995464524849404,0.982283910587463,0.0107312232891375,0.331664241086967,1,578.116077
30,5,150,40,0,1,0.5,eom,5,0.00594182403450243,0.994058175965498,0.326918856298616,1,5,0.00594182403450243,0.994058175965498,0.982373760655046,0.00668797024790806,0.326918856298616,1,5,0.994058175965498,0.982373760655046,0.00668797024790806,0.326918856298616,1,584.731999
60,5,150,10,0,1,0.5,eom,5,0.00639498089709433,0.993605019102906,0.636945519966066,1,5,0.00639498089709433,0.993605019102906,0.982799571844895,0.00737942511582846,0.636945519966066,1,5,0.993605019102906,0.982799571844895,0.00737942511582846,0.636945519966066,1,802.857042
60,5,100,40,0,1,0.5,eom,7,0.005840254392887,0.994159745607113,0.636130433048003,1,7,0.005840254392887,0.994159745607113,0.983096467720387,0.00688329648178388,0.636130433048003,1,7,0.994159745607113,0.983096467720387,0.00688329648178388,0.636130433048003,1,817.493995
30,5,100,40,0,1,0.5,eom,7,0.0064848309646772,0.993515169035323,0.632851691269434,1,7,0.0064848309646772,0.993515169035323,0.982373760655046,0.00668797024790806,0.632851691269434,1,7,0.993515169035323,0.982373760655046,0.00668797024790806,0.632851691269434,1,601.238078
60,5,100,80,0,1,0.5,eom,7,0.00695361392597917,0.993046386074021,0.692409981158792,1,7,0.00695361392597917,0.993046386074021,0.982393293278434,0.00665281152581041,0.692409981158792,1,7,0.993046386074021,0.982393293278434,0.00665281152581041,0.692409981158792,1,818.92199
30,5,100,80,0,1,0.5,eom,7,0.00710987491307983,0.99289012508692,0.646699029241914,1,7,0.00710987491307983,0.99289012508692,0.982283910587463,0.00656296145822753,0.646699029241914,1,7,0.99289012508692,0.982283910587463,0.00656296145822753,0.646699029241914,1,596.395111
60,5,50,40,0,1,0.5,eom,20,0.00803962778632873,0.991960372213671,0.751899286640605,0.955,20,0.00803962778632873,0.991960372213671,0.982080771304232,0.00231656913376722,0.751899286640605,0.955,20,0.991960372213671,0.982080771304232,0.00231656913376722,0.751899286640605,0.955,842.308449
30,5,150,10,0,1,0.5,eom,84,0.657483729324718,0.342516270675282,0.611678562795815,0.986904761904762,84,0.657483729324718,0.342516270675282,0.0645475072466033,0.0367330515426866,0.611678562795815,0.986904761904762,84,0.342516270675282,0.0645475072466033,0.0367330515426866,0.611678562795815,0.986904761904762,597.581393
10,5,150,80,0,1,0.5,eom,95,0.623633692994039,0.376366307005961,0.613614677742886,0.982105263157895,95,0.623633692994039,0.376366307005961,0.066633591424397,0.0420537381534639,0.613614677742886,0.982105263157895,95,0.376366307005961,0.066633591424397,0.0420537381534639,0.613614677742886,0.982105263157895,458.426061
60,5,100,10,0,1,0.5,eom,100,0.692224453281871,0.307775546718129,0.648415405364976,0.973,100,0.692224453281871,0.307775546718129,0.077603112718863,0.051601284465314,0.648415405364976,0.973,100,0.307775546718129,0.077603112718863,0.051601284465314,0.648415405364976,0.973,835.301177
10,5,150,40,0,1,0.5,eom,107,0.640521599174942,0.359478400825058,0.614897458641627,0.985046728971963,107,0.640521599174942,0.359478400825058,0.062465329593487,0.0382448765928854,0.614897458641627,0.985046728971963,107,0.359478400825058,0.062465329593487,0.0382448765928854,0.614897458641627,0.985046728971963,453.212961
30,5,100,10,0,1,0.5,eom,120,0.682329226273722,0.317670773726278,0.64381830498985,0.975,120,0.682329226273722,0.317670773726278,0.0645475072466033,0.0363189599268699,0.64381830498985,0.975,120,0.317670773726278,0.0645475072466033,0.0363189599268699,0.64381830498985,0.975,623.758432
