n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,time_seconds
90,5,350,10,0,1,0.5,eom,3,0.0029555258127696,0.99704447418723,0.357906821395235,1,3,0.00129917535727322,0.998700824642727,0.983326595414814,0.0111352280621877,0.355150483468074,1,1166.755361
90,5,150,10,0,1,0.5,eom,4,0.00509072639994976,0.99490927360005,0.446697038738173,1,4,0.00129917535727322,0.998700824642727,0.983326595414814,0.0088822774426263,0.451473610394091,1,1154.543852
70,5,150,80,0,1,0.5,eom,3,0.00138552538101948,0.998614474618981,0.372785374096302,1,3,0.00133057536590823,0.998669424634092,0.983204920381353,0.0112883031042834,0.355150483468074,1,1049.098587
70,5,350,150,0,1,0.5,eom,3,0.00441955121537658,0.995580448784623,0.357302710494466,1,3,0.00135412537238448,0.998645874627616,0.983020445330623,0.0114178281399027,0.390035912255068,1,1051.069676
70,5,350,250,0,1,0.5,eom,3,0.00443917622077346,0.995560823779227,0.357302710494466,1,3,0.00135412537238448,0.998645874627616,0.983020445330623,0.0114178281399027,0.390035912255068,1,1060.166038
50,5,350,40,0,1,0.5,eom,3,0.00378370104051779,0.996216298959482,0.344724823207133,1,3,0.00135805037346385,0.998641949626536,0.983165670370559,0.0111744780729815,0.333540849651501,1,915.637732
50,5,250,150,0,1,0.5,eom,3,0.00391715107721655,0.996082848922783,0.409684486221796,1,3,0.00135805037346385,0.998641949626536,0.983020445330623,0.0113118531107596,0.333540849651501,1,930.221431
70,5,250,80,0,1,0.5,eom,3,0.00138552538101948,0.998614474618981,0.372785374096302,1,3,0.00138552538101948,0.998614474618981,0.983204920381353,0.0112333530891721,0.372785374096302,1,1049.939608
70,5,350,80,0,1,0.5,eom,3,0.00138552538101948,0.998614474618981,0.372785374096302,1,3,0.00138552538101948,0.998614474618981,0.983204920381353,0.0112333530891721,0.372785374096302,1,1047.80304
70,5,250,40,0,1,0.5,eom,3,0.00337157592718338,0.996628424072817,0.341038704815085,1,3,0.00138552538101948,0.998614474618981,0.983204920381353,0.0112058780816165,0.372785374096302,1,1042.92097
70,5,350,40,0,1,0.5,eom,3,0.00337157592718338,0.996628424072817,0.341038704815085,1,3,0.00138552538101948,0.998614474618981,0.983204920381353,0.0112058780816165,0.372785374096302,1,1040.069574
70,5,250,150,0,1,0.5,eom,3,0.00441955121537658,0.995580448784623,0.357302710494466,1,3,0.00140907538749573,0.998590924612504,0.983020445330623,0.0113628781247915,0.390035912255068,1,1052.539812
50,5,250,40,0,1,0.5,eom,3,0.00378370104051779,0.996216298959482,0.344724823207133,1,3,0.00141300038857511,0.998586999611425,0.983165670370559,0.0111195280578702,0.333540849651501,1,915.692382
70,5,250,10,0,1,0.5,eom,3,0.00447450123048784,0.995525498769512,0.370465366783176,1,3,0.00147972540692449,0.998520274593076,0.983110720355448,0.0112098030826958,0.390035912255068,1,1029.771563
70,5,350,10,0,1,0.5,eom,3,0.00447450123048784,0.995525498769512,0.370465366783176,1,3,0.00153467542203574,0.998465324577964,0.983055770340337,0.0112098030826958,0.36869632016572,1,1026.359784
